#force pN 	 last_time fs 	 accelration factor 
-22.000000	 7508800.000000	 1040199797.881483 
-22.000000	 9805600.000000	 13851222785.255688 
-22.000000	 6516000.000000	 105776706.205778 
-22.000000	 10684000.000000	 49556056336.387260 
-22.000000	 8196000.000000	 1869257413.964314 
-22.000000	 9016800.000000	 4933980115.784970 
-22.000000	 9930400.000000	 13063963891.752512 
-22.000000	 8768600.000000	 5882171963.848525 
-22.000000	 8444000.000000	 2861432410.564831 
-22.000000	 6390000.000000	 64561357.431420 
-22.000000	 7878000.000000	 1599304160.291318 
-22.000000	 9310600.000000	 12773550940.592154 
-22.000000	 8035000.000000	 2428605955.278550 
-22.000000	 7569000.000000	 528490486.219961 
-22.000000	 6752000.000000	 269643479.202406 
-22.000000	 7197800.000000	 1245791160.333840 
-22.000000	 9996200.000000	 30561354102.434849 
-22.000000	 7337200.000000	 2283861483.876196 
-22.000000	 8905800.000000	 2939841017.000299 
-22.000000	 9361400.000000	 8594592814.578537 
