#force pN 	 last_time fs 	 accelration factor 
-34.000000	 4400800.000000	 6584921.084479 
-34.000000	 6323800.000000	 136499438.657952 
-34.000000	 6384200.000000	 93404019.911647 
-34.000000	 8785800.000000	 5585779764.527555 
-34.000000	 7459000.000000	 611860750.739160 
-34.000000	 8577400.000000	 1679025382.462182 
-34.000000	 5414800.000000	 37388264.315958 
-34.000000	 5512800.000000	 43098810.105402 
-34.000000	 6704000.000000	 742156225.273017 
-34.000000	 6876000.000000	 192633758.138801 
-34.000000	 7877000.000000	 2920427867.045627 
-34.000000	 6395400.000000	 90428113.470459 
-34.000000	 8419800.000000	 5174179619.651684 
-34.000000	 6977400.000000	 396244626.216358 
-34.000000	 7468200.000000	 775244018.954686 
-34.000000	 5621800.000000	 31814008.106492 
-34.000000	 5412800.000000	 45202960.890723 
-34.000000	 5886800.000000	 65920035.910700 
-34.000000	 6280000.000000	 103457199.959963 
-34.000000	 7212000.000000	 389284010.896155 
