#force pN 	 last_time fs 	 accelration factor 
-50.000000	 4958400.000000	 7469506.112632 
-50.000000	 6060000.000000	 93576493.408096 
-50.000000	 5441200.000000	 21424748.140456 
-50.000000	 4107400.000000	 3458861.124890 
-50.000000	 5540200.000000	 17762394.384938 
-50.000000	 5414400.000000	 24776188.049990 
-50.000000	 5973200.000000	 39063592.655429 
-50.000000	 6892000.000000	 380181732.945984 
-50.000000	 6268200.000000	 79319809.879366 
-50.000000	 5602800.000000	 106850160.539004 
-50.000000	 4968000.000000	 13887774.401825 
-50.000000	 4268600.000000	 2946136.653376 
-50.000000	 5794600.000000	 43176142.162802 
-50.000000	 5200800.000000	 22183601.538503 
-50.000000	 4155600.000000	 2427513.692195 
-50.000000	 4077200.000000	 2133853.396530 
-50.000000	 5806600.000000	 214956105.029456 
-50.000000	 5023400.000000	 13750096.579804 
-50.000000	 5759600.000000	 31618600.037588 
-50.000000	 6165800.000000	 71161422.919791 
