#force pN 	 last_time fs 	 accelration factor 
-4.000000	 6564200.311783	 16999710334.860228 
-4.000000	 7323800.347862	 23226491397.935204 
-4.000000	 9494000.450941	 1030025412445.607422 
-4.000000	 8017800.380825	 204757450987.189606 
-4.000000	 5862000.278430	 6813589716.154993 
-4.000000	 7223200.343084	 58280751230.738365 
-4.000000	 4796400.227817	 556012147.074124 
-4.000000	 8333400.395815	 284090103110.612305 
-4.000000	 7070200.335816	 32223170432.971550 
-4.000000	 7713400.366367	 164206975968.350464 
-4.000000	 4485000.213026	 497082183.109676 
-4.000000	 8603800.408659	 571172980971.165527 
-4.000000	 4887200.232130	 441756680.368951 
-4.000000	 8414400.399663	 150760914154.631226 
-4.000000	 6778000.321938	 18240425994.943302 
-4.000000	 7306200.347026	 68792878388.013184 
-4.000000	 6997600.332368	 57977199070.075447 
-4.000000	 4759200.226050	 826188679.345949 
-4.000000	 9617200.456792	 688474725504.628174 
-4.000000	 8184600.388748	 252167477852.237213 
