#force pN 	 last_time fs 	 accelration factor 
-38.000000	 7796200.000000	 507372284.348207 
-38.000000	 5406200.000000	 20976386.078742 
-38.000000	 6481000.000000	 106785489.052008 
-38.000000	 7038600.000000	 300488036.992032 
-38.000000	 5183200.000000	 30104811.974150 
-38.000000	 4345800.000000	 4579656.419614 
-38.000000	 7219200.000000	 496685708.526802 
-38.000000	 6147800.000000	 95799316.074327 
-38.000000	 5990400.000000	 86026424.768534 
-38.000000	 5310600.000000	 21538587.321221 
-38.000000	 7006400.000000	 351986226.283599 
-38.000000	 7955400.000000	 941082037.958404 
-38.000000	 7159600.000000	 612891627.608162 
-38.000000	 6037600.000000	 114270396.834856 
-38.000000	 8640600.000000	 2681854869.320245 
-38.000000	 8922600.000000	 1781316412.002854 
-38.000000	 8305000.000000	 665737424.425898 
-38.000000	 6362600.000000	 192013139.341815 
-38.000000	 6769800.000000	 228428319.486046 
-38.000000	 5825600.000000	 63845702.252007 
