#force pN 	 last_time fs 	 accelration factor 
-22.000000	 5230400.248431	 1406840604.770661 
-22.000000	 5619800.266926	 1184094590.906978 
-22.000000	 5692800.270393	 3245902286.829850 
-22.000000	 6323400.300345	 9843993077.108826 
-22.000000	 6129400.291131	 14872487343.932625 
-22.000000	 5074000.241002	 1022156894.452249 
-22.000000	 4238000.201294	 115234351.547358 
-22.000000	 5540800.263174	 2002200930.378331 
-22.000000	 4616800.219286	 517858319.063157 
-22.000000	 6362400.302198	 9026533552.190657 
-22.000000	 5931000.281707	 3931611377.777947 
-22.000000	 6435000.305646	 6461381393.574785 
-22.000000	 4434200.210613	 684573833.675652 
-22.000000	 4373600.207735	 216130023.915988 
-22.000000	 4817200.228805	 658021318.875356 
-22.000000	 4765800.226363	 552423073.964160 
-22.000000	 5949800.282600	 5369533428.783160 
-22.000000	 5385600.255802	 1755608763.533355 
-22.000000	 5221800.248022	 516215889.385312 
-22.000000	 3894000.184955	 34845278.747043 
