#force pN 	 last_time fs 	 accelration factor 
-48.000000	 8045400.000000	 61677353.815647 
-48.000000	 8192400.000000	 64024075.547376 
-48.000000	 8329000.000000	 82329286.790944 
-48.000000	 8112600.000000	 166056651.021544 
-48.000000	 8826000.000000	 204742206.715083 
-48.000000	 7257600.000000	 12295081.720830 
-48.000000	 4750000.000000	 636226.676875 
-48.000000	 9977400.000000	 555878808.942847 
-48.000000	 6352800.000000	 3915594.322986 
-48.000000	 7797600.000000	 90228890.117925 
-48.000000	 9297000.000000	 529639244.389047 
-48.000000	 6992600.000000	 9918964.180357 
-48.000000	 6490400.000000	 5573525.756307 
-48.000000	 7229000.000000	 21478814.110890 
-48.000000	 6642000.000000	 6147345.133632 
-48.000000	 7414800.000000	 67323018.169490 
-48.000000	 8642600.000000	 147612326.621847 
-48.000000	 8470200.000000	 201755125.325358 
-48.000000	 7675600.000000	 119499176.807710 
-48.000000	 6945000.000000	 32603042.118656 
