#force pN 	 last_time fs 	 accelration factor 
-40.000000	 6882800.000000	 482781725.456342 
-40.000000	 5861200.000000	 29393873.603696 
-40.000000	 6613000.000000	 325541410.451015 
-40.000000	 7319600.000000	 358930566.486924 
-40.000000	 7500200.000000	 587082704.476333 
-40.000000	 6589200.000000	 93732770.518536 
-40.000000	 6643000.000000	 222157030.669878 
-40.000000	 7673600.000000	 636471097.393668 
-40.000000	 4419600.000000	 2205064.573147 
-40.000000	 6331600.000000	 77829270.868242 
-40.000000	 5634600.000000	 98406595.672728 
-40.000000	 6722200.000000	 155043136.302974 
-40.000000	 6198600.000000	 108410606.802714 
-40.000000	 6754400.000000	 267369535.775709 
-40.000000	 6765200.000000	 177501253.332374 
-40.000000	 5315600.000000	 28332392.575874 
-40.000000	 5097800.000000	 34697071.350623 
-40.000000	 4225800.000000	 3817972.946608 
-40.000000	 5942400.000000	 19826794.522770 
-40.000000	 6379400.000000	 95216239.418627 
