#forces	taus	taus_bootstrap	bars
48.000000	0.660181	0.662541	0.148177
44.000000	0.489679	0.490344	0.110372
40.000000	1.716683	1.716305	0.380437
36.000000	2.788054	2.804141	0.626124
32.000000	7.784256	7.809369	1.745705
28.000000	5.060900	5.059051	1.118917
24.000000	33.019550	33.079566	7.414337
20.000000	28.553148	28.535230	6.419817
16.000000	33.248994	33.183418	7.328167
12.000000	90.906992	90.887858	20.502123
8.000000	284.534413	283.653365	63.528318
4.000000	2068.010130	2063.514002	456.151110
-0.000000	1189.500852	1187.675788	262.744570
