#force	 p-value
50.000000	0.562344
48.000000	0.526074
46.000000	0.264560
44.000000	0.942424
42.000000	0.638847
40.000000	0.698375
38.000000	0.554971
36.000000	0.764433
34.000000	0.255630
32.000000	0.646069
30.000000	0.252487
28.000000	0.221616
26.000000	0.176892
24.000000	0.147636
22.000000	0.317682
20.000000	0.800866
18.000000	0.087033
16.000000	0.128179
14.000000	0.946790
12.000000	0.704699
10.000000	0.296519
8.000000	0.225693
6.000000	0.173054
4.000000	0.459051
2.000000	0.744953
-0.000000	0.687435
