#forces	rates	rates_bootstrap	bars
50.000000	4.627098	4.871425	1.154655
48.000000	1.705172	1.792035	0.417487
46.000000	0.680450	0.714168	0.169412
44.000000	1.638125	1.718427	0.406028
42.000000	0.736556	0.776758	0.185456
40.000000	0.913174	0.961460	0.227186
38.000000	0.477844	0.501845	0.116588
36.000000	0.313452	0.330044	0.076494
34.000000	0.444358	0.467338	0.108848
32.000000	0.127004	0.133947	0.031865
30.000000	0.100011	0.104964	0.024878
28.000000	0.060307	0.063374	0.014805
26.000000	0.073380	0.077210	0.018215
24.000000	0.114650	0.120880	0.028694
22.000000	0.026293	0.027597	0.006541
20.000000	0.023004	0.024269	0.005719
18.000000	0.015880	0.016690	0.003932
16.000000	0.018429	0.019364	0.004526
14.000000	0.013320	0.014040	0.003290
12.000000	0.010334	0.010855	0.002606
10.000000	0.003932	0.004132	0.000982
8.000000	0.002188	0.002313	0.000554
6.000000	0.002658	0.002791	0.000659
4.000000	0.003087	0.003247	0.000766
2.000000	0.000737	0.000774	0.000183
-0.000000	0.000719	0.000757	0.000177
