#force pN 	 last_time fs 	 accelration factor 
-10.000000	 5777000.274393	 2688534796.044119 
-10.000000	 7923800.376360	 105647151778.112076 
-10.000000	 6154600.292328	 3790250382.510824 
-10.000000	 8170000.388054	 280278246105.892334 
-10.000000	 6144000.291824	 20253912455.610126 
-10.000000	 7205000.342219	 69900273755.505997 
-10.000000	 6556600.311422	 19036754947.591148 
-10.000000	 7786400.369834	 148203483733.608887 
-10.000000	 6055400.287616	 4022301797.908784 
-10.000000	 5875400.279067	 6714361430.737972 
-10.000000	 3861200.183397	 33423603.626070 
-10.000000	 5898200.280149	 3276641993.640609 
-10.000000	 6254800.297087	 11357855395.491116 
-10.000000	 5498400.261160	 1624581998.819982 
-10.000000	 5760400.273604	 2287789635.002481 
-10.000000	 6313000.299851	 15672595808.325062 
-10.000000	 6710200.318717	 12464224527.695930 
-10.000000	 7775800.369331	 58787359619.038925 
-10.000000	 9548400.453525	 1056798745717.144409 
-10.000000	 6095400.289516	 23005869115.836369 
