#force pN 	 last_time fs 	 accelration factor 
-20.000000	 13614600.000000	 16220985952.046434 
-20.000000	 12199400.000000	 8199622013.855458 
-20.000000	 10453400.000000	 1603511538.765803 
-20.000000	 13078200.000000	 14956633638.068295 
-20.000000	 8182800.000000	 162434910.631848 
-20.000000	 10094400.000000	 1130053047.889345 
-20.000000	 10483600.000000	 1460672464.402607 
-20.000000	 11280400.000000	 4708797049.496692 
-20.000000	 9660600.000000	 1125579319.052488 
-20.000000	 10358200.000000	 1319151235.003423 
-20.000000	 9982000.000000	 1587828485.530825 
-20.000000	 12609200.000000	 7519693966.129588 
-20.000000	 10050600.000000	 1535667204.340233 
-20.000000	 11807400.000000	 5032544282.991699 
-20.000000	 12065600.000000	 6472949423.229336 
-20.000000	 8133000.000000	 151178707.209707 
-20.000000	 7973600.000000	 79627798.306363 
-20.000000	 6990000.000000	 25885866.549440 
-20.000000	 11335400.000000	 2450462425.648388 
-20.000000	 9058400.000000	 193516239.886677 
