#force pN 	 last_time fs 	 accelration factor 
-28.000000	 7241200.000000	 420855409.237787 
-28.000000	 8656000.000000	 2833671672.215840 
-28.000000	 8240000.000000	 886019853.335130 
-28.000000	 7730800.000000	 543389477.576711 
-28.000000	 8610800.000000	 1274576563.888532 
-28.000000	 5996200.000000	 145346616.015086 
-28.000000	 6784000.000000	 209853624.491146 
-28.000000	 6283400.000000	 313023076.899596 
-28.000000	 8259000.000000	 3206481951.218513 
-28.000000	 8646000.000000	 4570374784.908937 
-28.000000	 8835000.000000	 4641252235.565203 
-28.000000	 7031800.000000	 544552926.357919 
-28.000000	 9127200.000000	 6497828075.079527 
-28.000000	 9367800.000000	 5385791340.229506 
-28.000000	 9431400.000000	 10962999745.803165 
-28.000000	 6098400.000000	 253925495.305213 
-28.000000	 6658800.000000	 212900795.956439 
-28.000000	 10815800.000000	 28721019966.418232 
-28.000000	 6064800.000000	 175682454.922215 
-28.000000	 9094600.000000	 3651136299.990376 
