#force	 p-value
48.000000	0.527532
44.000000	0.886300
40.000000	0.301264
36.000000	0.179234
32.000000	0.314981
28.000000	0.159407
24.000000	0.689141
20.000000	0.386461
16.000000	0.463176
12.000000	0.496373
8.000000	0.418206
4.000000	0.698587
-0.000000	0.124824
