#force pN 	 last_time fs 	 accelration factor 
0.000000	 5992200.284614	 7571910703.899680 
0.000000	 6719400.319154	 29957460878.258106 
0.000000	 9431400.447967	 975895463519.411255 
0.000000	 7258600.344765	 41161191687.665909 
0.000000	 8114200.385404	 88520725293.279602 
0.000000	 9522600.452299	 1405615814716.211426 
0.000000	 9457800.449221	 1379956380957.688721 
0.000000	 9366600.444890	 1054301869885.168457 
0.000000	 6222200.295539	 9829986427.927956 
0.000000	 8031000.381452	 134302481670.827179 
0.000000	 7737000.367488	 185995576120.664154 
0.000000	 7207600.342343	 62623276235.744675 
0.000000	 8242600.391502	 307242903550.576477 
0.000000	 6663600.316504	 33336220628.841557 
0.000000	 7602800.361114	 104717010655.129425 
0.000000	 7982200.379134	 612130623824.752441 
0.000000	 6619000.314386	 6246466670.134903 
0.000000	 7003200.332634	 31185612812.730927 
0.000000	 7105600.337498	 89915594297.265839 
0.000000	 8736400.414957	 1140651371071.275879 
