#force	 last_time	 alpha	 product
4.0 19005.920000 27.055460 0.514214 
4.0 22506.400000 39.387016 0.886460 
4.0 17478.240000 23.387494 0.408772 
4.0 15227.640000 18.208294 0.277269 
4.0 18369.400000 24.264502 0.445724 
4.0 19429.520000 27.904370 0.542169 
4.0 15250.080000 18.130717 0.276495 
4.0 20351.520000 29.989507 0.610332 
4.0 17039.880000 21.414836 0.364906 
4.0 13034.360000 13.671922 0.178205 
4.0 23043.520000 38.723288 0.892321 
4.0 16295.600000 20.239394 0.329813 
4.0 21057.680000 33.787125 0.711478 
4.0 19394.360000 27.719914 0.537610 
4.0 17127.480000 21.917756 0.375396 
4.0 20343.080000 30.874034 0.628073 
4.0 18162.320000 24.026691 0.436380 
4.0 23500.920000 40.659362 0.955532 
4.0 18517.840000 25.711847 0.476128 
4.0 19946.520000 29.927581 0.596951 
