#run	 escape_time
1	 0.148309
2	 0.136474
3	 0.314305
4	 0.061285
5	 0.134341
6	 0.197090
7	 0.270269
8	 0.164713
9	 0.121753
10	 0.177307
11	 0.046042
12	 0.258258
13	 0.131992
14	 0.236598
15	 0.186327
16	 0.089540
17	 0.176252
18	 0.274327
19	 0.094377
20	 0.175206
