#force	 last_time	 alpha	 product
4.8 2565.280000 57.814066 0.148309 
4.8 2431.200000 56.134471 0.136474 
4.8 3080.720000 102.023252 0.314305 
4.8 1922.760000 31.873240 0.061285 
4.8 2475.560000 54.267052 0.134341 
4.8 2737.640000 71.992582 0.197090 
4.8 3002.400000 90.017793 0.270269 
4.8 2548.000000 64.644027 0.164713 
4.8 2431.440000 50.074630 0.121753 
4.8 2648.880000 66.936722 0.177307 
4.8 1789.240000 25.732836 0.046042 
4.8 2900.640000 89.034835 0.258258 
4.8 2448.480000 53.907807 0.131992 
4.8 2867.200000 82.518685 0.236598 
4.8 2704.240000 68.901836 0.186327 
4.8 2223.600000 40.268038 0.089540 
4.8 2619.640000 67.281006 0.176252 
4.8 3002.080000 91.378966 0.274327 
4.8 2185.680000 43.179657 0.094377 
4.8 2596.200000 67.485425 0.175206 
