#run	 escape_time
1	 0.376680
2	 0.440706
3	 0.586669
4	 0.303999
5	 0.618907
6	 0.835570
7	 0.610155
8	 0.299548
9	 0.167676
10	 0.184738
11	 0.255414
12	 0.086358
13	 0.526555
14	 0.528051
15	 0.229444
16	 0.084526
17	 0.370632
18	 0.260707
19	 0.480204
20	 0.521540
