#force	 last_time	 alpha	 product
4.0 22105.280000 33.891624 0.749184 
4.0 12204.680000 12.092416 0.147584 
4.0 19796.280000 28.022599 0.554743 
4.0 14472.600000 16.176693 0.234119 
4.0 17317.920000 22.834825 0.395452 
4.0 18705.000000 26.726525 0.499920 
4.0 26303.080000 50.790640 1.335950 
4.0 15454.680000 17.539331 0.271065 
4.0 21810.360000 34.342115 0.749014 
4.0 14645.800000 15.944171 0.233515 
4.0 14776.560000 17.102884 0.252722 
4.0 22152.880000 34.908130 0.773316 
4.0 14535.400000 16.344587 0.237575 
4.0 20358.720000 29.046042 0.591340 
4.0 16718.520000 21.379148 0.357428 
4.0 18337.200000 24.968913 0.457860 
4.0 21348.240000 32.032516 0.683838 
4.0 13977.320000 15.316023 0.214077 
4.0 18424.080000 23.936505 0.441008 
4.0 10685.120000 9.864996 0.105409 
