#force	 p-value
0.000000	0.052504
0.400000	0.106684
0.800000	0.076366
1.200000	0.066677
1.600000	0.072178
2.000000	0.111726
2.400000	0.123117
2.800000	0.157849
3.200000	0.151809
3.600000	0.146441
4.000000	0.284906
4.400000	0.155383
4.800000	0.097618
5.200000	0.193350
5.600000	0.035310
6.000000	0.115440
6.400000	0.114950
6.800000	0.281181
7.200000	0.071541
7.600000	0.394659
8.000000	0.120936
