#force	 last_time	 alpha	 product
0.4 21488.640000 8.548871 0.183704 
0.4 15626.120000 5.864083 0.091633 
0.4 17361.680000 6.228229 0.108133 
0.4 18156.720000 7.015725 0.127383 
0.4 14487.760000 5.265441 0.076284 
0.4 18802.760000 7.298363 0.137229 
0.4 16175.840000 6.053191 0.097915 
0.4 15421.280000 5.673853 0.087498 
0.4 16147.960000 6.073466 0.098074 
0.4 23250.520000 9.493900 0.220738 
0.4 11392.880000 4.330411 0.049336 
0.4 22888.000000 9.366503 0.214381 
0.4 24270.000000 10.238789 0.248495 
0.4 20804.920000 8.135001 0.169248 
0.4 20680.120000 7.942577 0.164253 
0.4 21997.680000 9.029668 0.198632 
0.4 15895.080000 5.901559 0.093806 
0.4 10452.040000 3.886058 0.040617 
0.4 15944.600000 5.802425 0.092517 
0.4 20112.280000 8.025790 0.161417 
