#force	 last_time	 alpha	 product
1.6 17286.680000 15.360575 0.265533 
1.6 15499.320000 13.262371 0.205558 
1.6 13935.520000 11.416524 0.159095 
1.6 20460.480000 18.574900 0.380051 
1.6 19375.880000 17.842206 0.345708 
1.6 16400.400000 14.487660 0.237603 
1.6 15996.000000 14.453657 0.231201 
1.6 16974.640000 15.789403 0.268019 
1.6 17707.960000 15.849033 0.280654 
1.6 12701.000000 10.741066 0.136422 
1.6 20199.680000 19.164821 0.387123 
1.6 16703.400000 14.832511 0.247753 
1.6 14638.720000 12.779495 0.187075 
1.6 18939.640000 17.208629 0.325925 
1.6 9146.960000 7.606705 0.069578 
1.6 16343.360000 14.333325 0.234255 
1.6 13117.720000 10.860975 0.142471 
1.6 20153.040000 19.379225 0.390550 
1.6 15453.360000 13.319881 0.205837 
1.6 22984.240000 23.621122 0.542914 
