#force	 last_time	 alpha	 product
3.6 2551.000000 62.600894 0.159695 
3.6 2334.120000 47.809247 0.111593 
3.6 1935.440000 32.536836 0.062973 
3.6 2226.000000 42.082241 0.093675 
3.6 2680.480000 70.898783 0.190043 
3.6 2461.040000 59.570227 0.146605 
3.6 1640.280000 20.918050 0.034311 
3.6 2029.520000 36.170906 0.073410 
3.6 2530.480000 57.377414 0.145192 
3.6 1992.320000 32.383774 0.064519 
3.6 2871.680000 76.735189 0.220359 
3.6 2871.800000 83.677422 0.240305 
3.6 2384.400000 52.090757 0.124205 
3.6 3517.080000 153.700248 0.540576 
3.6 2293.880000 45.773650 0.104999 
3.6 2308.040000 45.268675 0.104482 
3.6 1979.840000 33.142006 0.065616 
3.6 2568.120000 57.531094 0.147747 
3.6 2569.640000 63.732991 0.163771 
3.6 2655.760000 62.968078 0.167228 
