#force	 last_time	 alpha	 product
2.0 2233.160000 43.963225 0.098177 
2.0 1565.880000 19.322145 0.030256 
2.0 1963.800000 31.489181 0.061838 
2.0 1843.720000 28.461749 0.052475 
2.0 2594.880000 64.406178 0.167126 
2.0 1906.080000 31.063532 0.059210 
2.0 2544.480000 61.891194 0.157481 
2.0 2182.720000 43.254239 0.094412 
2.0 1685.600000 22.020196 0.037117 
2.0 2261.640000 42.244730 0.095542 
2.0 2638.720000 65.578587 0.173044 
2.0 1814.320000 28.592665 0.051876 
2.0 1860.280000 28.642579 0.053283 
2.0 1382.200000 15.181717 0.020984 
2.0 1481.840000 16.218097 0.024033 
2.0 2124.280000 38.996213 0.082839 
2.0 2008.640000 34.114422 0.068524 
2.0 2374.760000 50.686452 0.120368 
2.0 2085.120000 37.269381 0.077711 
2.0 1149.440000 10.447435 0.012009 
