#run	 escape_time
1	 0.038283
2	 0.173769
3	 0.134841
4	 0.216628
5	 0.340614
6	 0.520408
7	 0.420541
8	 0.304022
9	 0.391155
10	 0.159097
11	 0.263835
12	 0.353618
13	 0.155275
14	 0.126495
15	 0.217784
16	 0.258726
17	 0.376576
18	 0.406138
19	 0.201188
20	 0.383804
