#run	 escape_time
1	 0.460775
2	 0.220843
3	 0.100559
4	 0.195834
5	 0.117522
6	 0.146301
7	 0.086544
8	 0.048455
9	 0.314962
10	 0.351131
11	 0.264230
12	 0.259325
13	 0.397698
14	 0.177862
15	 0.167265
16	 0.233816
17	 0.213990
18	 0.165608
19	 0.220720
20	 0.191485
