#force	 last_time	 alpha	 product
2.4 17187.240000 21.847518 0.375499 
2.4 15836.840000 18.045738 0.285787 
2.4 16257.920000 18.964731 0.308327 
2.4 4685.720000 3.755117 0.017595 
2.4 12347.200000 12.493439 0.154259 
2.4 15485.160000 18.055737 0.279596 
2.4 17633.880000 21.929628 0.386704 
2.4 18245.280000 23.140446 0.422204 
2.4 13812.400000 14.970156 0.206774 
2.4 12552.640000 12.924517 0.162237 
2.4 12202.160000 12.206807 0.148949 
2.4 14291.640000 15.130838 0.216244 
2.4 18363.760000 22.727908 0.417370 
2.4 18280.640000 24.129189 0.441097 
2.4 18470.720000 24.229610 0.447538 
2.4 15510.000000 17.361717 0.269280 
2.4 18146.280000 22.115444 0.401313 
2.4 19913.600000 27.441553 0.546460 
2.4 20537.240000 28.477060 0.584840 
2.4 13039.240000 13.679630 0.178372 
