#force	 last_time	 alpha	 product
2.0 6880.800000 5.563780 0.038283 
2.0 13281.480000 13.083533 0.173769 
2.0 11945.440000 11.288095 0.134841 
2.0 14659.160000 14.777635 0.216628 
2.0 16866.360000 20.194844 0.340614 
2.0 20630.440000 25.225270 0.520408 
2.0 19252.320000 21.843665 0.420541 
2.0 16575.360000 18.341791 0.304022 
2.0 18497.640000 21.146203 0.391155 
2.0 13053.840000 12.187760 0.159097 
2.0 15798.000000 16.700525 0.263835 
2.0 17899.720000 19.755489 0.353618 
2.0 12654.400000 12.270428 0.155275 
2.0 11697.280000 10.814090 0.126495 
2.0 14559.760000 14.957966 0.217784 
2.0 15621.320000 16.562363 0.258726 
2.0 18206.840000 20.683192 0.376576 
2.0 18875.440000 21.516767 0.406138 
2.0 14061.040000 14.308188 0.201188 
2.0 18579.920000 20.656910 0.383804 
