#force	 last_time	 alpha	 product
5.2 17327.480000 22.483802 0.389588 
5.2 11924.080000 11.769139 0.140336 
5.2 20528.920000 31.096113 0.638370 
5.2 18583.200000 25.496935 0.473815 
5.2 15593.480000 18.576109 0.289666 
5.2 24151.880000 43.528859 1.051304 
5.2 16476.840000 21.078619 0.347309 
5.2 11555.640000 11.008202 0.127207 
5.2 14718.240000 16.732336 0.246271 
5.2 18695.920000 25.678384 0.480081 
5.2 15673.800000 19.453922 0.304917 
5.2 17474.840000 23.639297 0.413093 
5.2 20006.920000 30.201037 0.604230 
5.2 11006.800000 10.430506 0.114806 
5.2 20548.720000 31.091320 0.638887 
5.2 24499.080000 45.246109 1.108488 
5.2 19377.200000 28.603610 0.554258 
5.2 21912.520000 36.020868 0.789308 
5.2 19534.840000 27.933263 0.545672 
5.2 20821.520000 31.561231 0.657153 
