#force	 p-value
0.000000	0.495717
0.400000	0.125133
0.800000	0.392013
1.200000	0.164296
1.600000	0.175278
2.000000	0.562056
2.400000	0.079349
2.800000	0.103335
3.200000	0.129985
3.600000	0.161623
4.000000	0.086001
4.400000	0.231290
4.800000	0.140054
5.200000	0.048585
5.600000	0.031121
6.000000	0.086138
6.400000	0.774199
6.800000	0.174621
7.200000	0.163451
7.600000	0.130935
8.000000	0.947891
