#run	 escape_time
1	 0.080607
2	 0.185388
3	 0.091292
4	 0.167200
5	 0.088558
6	 0.105673
7	 0.161300
8	 0.046711
9	 0.148859
10	 0.236934
11	 0.153349
12	 0.076931
13	 0.106148
14	 0.102481
15	 0.150433
16	 0.161904
17	 0.115954
18	 0.079307
19	 0.058938
20	 0.248329
