#rc	 FE
4.800000	 12.397091
5.388280	 6.286765
5.976561	 2.586819
6.564841	 0.326571
7.153122	 0.038379
7.741402	 1.138765
8.329683	 2.379071
8.917963	 3.569304
9.506243	 4.752984
10.094524	 5.265694
10.682804	 5.177918
11.271085	 4.936092
11.859365	 4.990039
12.447646	 5.033128
13.035926	 5.137438
13.624206	 5.439916
14.212487	 5.742334
14.800767	 6.172541
15.389048	 6.599186
15.977328	 6.926474
16.565609	 7.067242
17.153889	 6.791493
17.742169	 6.227112
18.330450	 5.848646
18.918730	 5.852087
19.507011	 6.057211
20.095291	 6.646645
20.683572	 7.457575
21.271852	 7.789926
21.860132	 7.921917
22.448413	 8.120786
23.036693	 8.137786
23.624974	 8.126948
24.213254	 8.106308
24.801535	 8.020115
25.389815	 7.880165
25.978095	 7.653234
26.566376	 7.427768
27.154656	 7.274914
27.742937	 7.083469
28.331217	 6.929204
28.919498	 6.812968
29.507778	 6.739239
30.096058	 6.824513
30.684339	 6.913058
31.272619	 6.995133
31.860900	 7.149942
32.449180	 7.658677
33.037461	 10.492615
