#rc	 FE
1.412923	 2.715102
1.862810	 -0.060338
2.312696	 0.659503
2.762583	 4.169109
3.212470	 5.921692
3.662357	 7.141659
4.112243	 6.478911
4.562130	 5.074096
5.012017	 3.992002
5.461904	 3.457679
5.911790	 3.150482
6.361677	 2.492530
6.811564	 2.515320
7.261451	 3.258966
7.711337	 4.689539
8.161224	 6.452377
8.611111	 7.206285
9.060997	 7.443198
9.510884	 7.242770
9.960771	 7.156035
10.410658	 7.112403
10.860544	 6.952530
11.310431	 6.834931
11.760318	 6.158498
12.210205	 5.098362
12.660091	 4.193877
13.109978	 3.511795
13.559865	 3.534359
14.009752	 3.273777
14.459638	 3.048858
14.909525	 3.186121
15.359412	 3.163647
15.809299	 2.700979
16.259185	 2.236384
16.709072	 1.561078
17.158959	 0.960506
17.608845	 0.903692
18.058732	 1.385321
18.508619	 2.084133
18.958506	 2.464576
19.408392	 2.776686
19.858279	 2.978620
20.308166	 2.950732
20.758053	 3.137425
21.207939	 3.523675
21.657826	 4.038514
22.107713	 4.423163
22.557600	 4.980330
23.007486	 5.852868
