#rc	 FE
4.800000	 14.339052
5.387934	 7.871898
5.975869	 3.263519
6.563803	 0.624324
7.151737	 0.239724
7.739672	 1.495741
8.327606	 3.482896
8.915541	 5.902457
9.503475	 6.008592
10.091409	 5.230615
10.679344	 5.041459
11.267278	 5.304317
11.855212	 5.821039
12.443147	 6.311990
13.031081	 5.932719
13.619016	 5.190522
14.206950	 4.817279
14.794884	 4.540262
15.382819	 4.271030
15.970753	 3.378684
16.558687	 2.670592
17.146622	 2.651970
17.734556	 3.049699
18.322490	 3.633460
18.910425	 3.903821
19.498359	 4.058903
20.086294	 3.869820
20.674228	 3.665448
21.262162	 3.509552
21.850097	 3.118638
22.438031	 2.641284
23.025965	 2.085788
23.613900	 1.800965
24.201834	 1.461277
24.789768	 1.438279
25.377703	 1.562205
25.965637	 1.741319
26.553572	 2.030866
27.141506	 2.229294
27.729440	 2.393062
28.317375	 2.486323
28.905309	 2.517806
29.493243	 2.555418
30.081178	 2.713752
30.669112	 2.867273
31.257047	 3.080062
31.844981	 3.285137
32.432915	 3.996497
33.020850	 6.915261
