#rc	 FE
1.621446	 13.798406
2.083630	 12.199021
2.545814	 13.567252
3.007997	 17.982231
3.470181	 20.939091
3.932365	 24.071148
4.394549	 17.712046
4.856733	 16.220153
5.318916	 14.461538
5.781100	 12.926634
6.243284	 11.240511
6.705468	 10.250481
7.167652	 9.881030
7.629835	 9.985188
8.092019	 10.172097
8.554203	 10.008564
9.016387	 10.054611
9.478571	 9.469960
9.940754	 8.457145
10.402938	 7.959358
10.865122	 7.785053
11.327306	 7.700215
11.789490	 7.240709
12.251673	 6.720655
12.713857	 6.749378
13.176041	 6.551450
13.638225	 6.241198
14.100408	 5.858044
14.562592	 5.532611
15.024776	 4.868925
15.486960	 4.113270
15.949144	 3.795953
16.411327	 3.428102
16.873511	 2.867733
17.335695	 2.122003
17.797879	 1.405970
18.260063	 0.977292
18.722246	 1.000887
19.184430	 1.258222
19.646614	 1.429698
20.108798	 1.256893
20.570982	 0.983195
21.033165	 0.930431
21.495349	 0.948916
21.957533	 0.772377
22.419717	 0.781428
22.881901	 1.281624
23.344084	 2.024209
23.806268	 2.555855
