#rc	 FE
1.507373	 1.424293
1.967708	 -0.346476
2.428043	 0.750727
2.888378	 3.648198
3.348713	 7.243897
3.809049	 8.070980
4.269384	 8.027193
4.729719	 8.179806
5.190054	 8.120270
5.650389	 8.063998
6.110724	 8.308285
6.571059	 8.108931
7.031394	 8.086483
7.491730	 8.515314
7.952065	 8.734551
8.412400	 8.941298
8.872735	 8.989984
9.333070	 8.774876
9.793405	 8.684619
10.253740	 8.503259
10.714075	 8.356074
11.174411	 8.357358
11.634746	 8.395853
12.095081	 8.406709
12.555416	 8.413293
13.015751	 8.432876
13.476086	 8.269251
13.936421	 8.112079
14.396756	 7.756138
14.857092	 7.496392
15.317427	 6.700505
15.777762	 5.699834
16.238097	 5.178045
16.698432	 5.354777
17.158767	 5.411932
17.619102	 5.281462
18.079437	 5.373867
18.539773	 4.935069
19.000108	 4.361563
19.460443	 3.877350
19.920778	 3.698034
20.381113	 4.137742
20.841448	 5.548666
21.301783	 6.874838
21.762118	 7.388261
22.222454	 7.647021
22.682789	 7.882580
23.143124	 8.327951
23.603459	 9.442877
