#rc	 FE
4.800000	 20.894008
5.388837	 17.996852
5.977673	 13.066755
6.566510	 10.449718
7.155347	 9.621681
7.744183	 10.156037
8.333020	 11.097578
8.921857	 12.550726
9.510693	 13.532959
10.099530	 13.278002
10.688367	 12.941067
11.277203	 12.279118
11.866040	 11.626712
12.454876	 11.151975
13.043713	 10.698207
13.632550	 10.231261
14.221386	 9.738481
14.810223	 9.260916
15.399060	 8.690487
15.987896	 8.196317
16.576733	 7.860893
17.165570	 7.470519
17.754406	 7.027231
18.343243	 6.643446
18.932080	 6.418303
19.520916	 6.104189
20.109753	 5.597226
20.698590	 5.186937
21.287426	 4.942366
21.876263	 4.571144
22.465100	 4.204236
23.053936	 3.962675
23.642773	 3.735812
24.231610	 3.768913
24.820446	 3.857459
25.409283	 3.793455
25.998120	 3.551955
26.586956	 3.297149
27.175793	 3.071238
27.764629	 2.882019
28.353466	 2.571020
28.942303	 2.074805
29.531139	 1.422642
30.119976	 0.763919
30.708813	 0.432783
31.297649	 0.472322
31.886486	 0.824479
32.475323	 1.613371
33.064159	 4.917456
