#rc	 FE
1.398750	 2.037793
1.857241	 -0.286210
2.315731	 0.395685
2.774222	 2.654689
3.232712	 4.738255
3.691203	 5.261957
4.149694	 7.375585
4.608184	 8.568639
5.066675	 7.998165
5.525165	 7.629746
5.983656	 7.518996
6.442147	 7.017726
6.900637	 6.692106
7.359128	 6.731959
7.817618	 7.080796
8.276109	 7.503812
8.734599	 7.963584
9.193090	 8.744902
9.651581	 9.423128
10.110071	 9.836791
10.568562	 10.063573
11.027052	 10.143209
11.485543	 9.952266
11.944034	 9.586071
12.402524	 9.235055
12.861015	 8.928439
13.319505	 8.647789
13.777996	 8.628121
14.236487	 8.503937
14.694977	 7.211950
15.153468	 6.169223
15.611958	 5.535953
16.070449	 4.554292
16.528940	 3.957092
16.987430	 4.306404
17.445921	 4.941221
17.904411	 4.795845
18.362902	 4.807983
18.821392	 4.728365
19.279883	 4.785053
19.738374	 4.764106
20.196864	 5.013908
20.655355	 5.574705
21.113845	 6.848742
21.572336	 8.180607
22.030827	 9.237580
22.489317	 10.581343
22.947808	 11.760810
23.406298	 12.845887
