#rc	 FE
1.554591	 9.467847
2.040741	 7.896755
2.526892	 7.593206
3.013042	 8.246064
3.499192	 10.664589
3.985342	 13.773817
4.471493	 14.717571
4.957643	 14.963370
5.443793	 14.906697
5.929944	 15.412656
6.416094	 14.602318
6.902244	 13.709516
7.388394	 13.235449
7.874545	 12.880074
8.360695	 12.649877
8.846845	 12.426446
9.332996	 12.268107
9.819146	 11.662621
10.305296	 10.761327
10.791446	 9.967719
11.277597	 9.148581
11.763747	 8.360662
12.249897	 7.754253
12.736048	 6.685136
13.222198	 6.079957
13.708348	 5.874911
14.194498	 5.606996
14.680649	 5.025640
15.166799	 4.349014
15.652949	 2.338830
16.139100	 1.561576
16.625250	 1.997037
17.111400	 2.077449
17.597550	 1.541661
18.083701	 1.482767
18.569851	 1.515523
19.056001	 1.220978
19.542152	 1.183051
20.028302	 1.209607
20.514452	 1.127197
21.000602	 0.973048
21.486753	 0.887145
21.972903	 0.816829
22.459053	 0.861601
22.945204	 1.125636
23.431354	 1.849852
23.917504	 3.153922
24.403654	 5.133515
24.889805	 7.523606
