#rc	 FE
4.800000	 22.332095
5.388543	 17.011410
5.977086	 16.820845
6.565630	 15.237719
7.154173	 14.059538
7.742716	 13.664689
8.331259	 14.315245
8.919803	 14.328488
9.508346	 13.282493
10.096889	 12.833631
10.685432	 12.751084
11.273976	 12.843575
11.862519	 12.734113
12.451062	 10.877497
13.039605	 10.362302
13.628149	 10.284948
14.216692	 9.935601
14.805235	 9.731740
15.393778	 9.536077
15.982322	 9.179145
16.570865	 8.717888
17.159408	 8.214290
17.747951	 7.878029
18.336495	 7.638827
18.925038	 7.306948
19.513581	 6.875679
20.102124	 6.255596
20.690668	 5.537838
21.279211	 4.843046
21.867754	 3.967324
22.456297	 3.283561
23.044841	 2.910976
23.633384	 2.567821
24.221927	 2.180387
24.810470	 1.656288
25.399014	 1.407921
25.987557	 1.246453
26.576100	 1.034295
27.164643	 1.229194
27.753187	 1.901527
28.341730	 1.880618
28.930273	 1.572089
29.518816	 1.317113
30.107360	 1.109290
30.695903	 0.944243
31.284446	 0.906216
31.872989	 1.063824
32.461533	 1.774540
33.050076	 4.779094
