#rc	 FE
4.800000	 13.600778
5.388023	 8.825633
5.976046	 5.842757
6.564069	 3.981698
7.152093	 3.695758
7.740116	 4.642595
8.328139	 5.297025
8.916162	 5.789333
9.504185	 5.970820
10.092208	 6.615906
10.680232	 7.475732
11.268255	 7.973274
11.856278	 8.259287
12.444301	 8.656232
13.032324	 8.942068
13.620347	 9.064077
14.208371	 8.870067
14.796394	 8.653731
15.384417	 8.394108
15.972440	 8.131293
16.560463	 7.869705
17.148486	 7.560372
17.736510	 7.112208
18.324533	 6.561971
18.912556	 6.007007
19.500579	 5.615922
20.088602	 5.178057
20.676625	 4.671895
21.264649	 4.466161
21.852672	 4.188973
22.440695	 3.924269
23.028718	 3.640454
23.616741	 3.436926
24.204764	 3.334326
24.792788	 3.300738
25.380811	 3.111399
25.968834	 2.564546
26.556857	 1.786173
27.144880	 1.212304
27.732903	 0.924249
28.320927	 0.902708
28.908950	 0.982318
29.496973	 1.014236
30.084996	 0.890417
30.673019	 0.826188
31.261042	 1.078175
31.849066	 2.050939
32.437089	 3.412342
33.025112	 6.280396
