#rc	 FE
1.428898	 5.328337
1.879132	 2.297476
2.329366	 2.673552
2.779600	 4.873873
3.229834	 5.290586
3.680068	 4.718123
4.130302	 4.369007
4.580536	 4.435190
5.030770	 4.449328
5.481004	 4.925176
5.931238	 5.616533
6.381472	 6.018777
6.831706	 6.540481
7.281940	 7.171232
7.732174	 8.027432
8.182408	 8.679827
8.632642	 8.612081
9.082876	 8.330602
9.533110	 8.653421
9.983344	 8.832212
10.433578	 8.391600
10.883812	 7.456815
11.334046	 6.848827
11.784280	 6.831483
12.234514	 6.282759
12.684749	 4.118547
13.134983	 2.909371
13.585217	 3.098286
14.035451	 4.331047
14.485685	 5.315527
14.935919	 5.842677
15.386153	 5.751138
15.836387	 4.579989
16.286621	 3.549232
16.736855	 2.785831
17.187089	 0.548069
17.637323	 -0.182431
18.087557	 0.626002
18.537791	 2.106427
18.988025	 2.741313
19.438259	 3.045167
19.888493	 3.394403
20.338727	 3.889689
20.788961	 4.215256
21.239195	 4.815257
21.689429	 5.592073
22.139663	 6.324020
22.589897	 7.244934
23.040131	 9.081829
