#rc	 FE
1.570156	 5.394108
2.025407	 3.436267
2.480659	 3.861459
2.935910	 4.757366
3.391162	 5.944024
3.846413	 6.829910
4.301665	 7.676987
4.756916	 8.295393
5.212168	 8.664367
5.667419	 9.019555
6.122670	 9.652823
6.577922	 10.067612
7.033173	 10.036220
7.488425	 9.773788
7.943676	 9.479126
8.398928	 9.285370
8.854179	 9.283861
9.309431	 9.136022
9.764682	 8.797079
10.219934	 8.367514
10.675185	 8.021461
11.130436	 7.985323
11.585688	 7.854901
12.040939	 7.653391
12.496191	 7.321147
12.951442	 6.839228
13.406694	 6.401604
13.861945	 5.682950
14.317197	 4.914675
14.772448	 4.201128
15.227699	 3.601481
15.682951	 3.283004
16.138202	 2.015839
16.593454	 0.932574
17.048705	 0.494316
17.503957	 0.648068
17.959208	 0.484854
18.414460	 0.376773
18.869711	 1.261058
19.324963	 2.482113
19.780214	 2.762692
20.235465	 2.921284
20.690717	 2.987800
21.145968	 2.956056
21.601220	 2.895987
22.056471	 3.045918
22.511723	 3.108501
22.966974	 3.202224
23.422226	 3.793133
