#rc	 FE
4.800000	 11.725656
5.388168	 6.452326
5.976336	 2.699220
6.564505	 0.231466
7.152673	 0.055159
7.740841	 1.428769
8.329009	 3.448505
8.917178	 5.427025
9.505346	 6.516263
10.093514	 6.669623
10.681682	 6.889339
11.269851	 7.361402
11.858019	 8.017094
12.446187	 8.032393
13.034355	 7.598265
13.622524	 7.029315
14.210692	 6.296941
14.798860	 5.671004
15.387028	 5.307708
15.975197	 5.265758
16.563365	 5.369349
17.151533	 5.707896
17.739701	 6.182828
18.327870	 6.832591
18.916038	 7.560615
19.504206	 8.304212
20.092374	 8.175171
20.680543	 7.934282
21.268711	 7.910031
21.856879	 7.681515
22.445047	 7.459891
23.033216	 7.266808
23.621384	 7.043435
24.209552	 6.734228
24.797720	 6.422332
25.385889	 6.166998
25.974057	 6.153783
26.562225	 6.254621
27.150393	 6.406049
27.738562	 6.256985
28.326730	 5.544975
28.914898	 4.600693
29.503066	 4.157727
30.091235	 3.978262
30.679403	 4.100242
31.267571	 4.397940
31.855739	 5.139202
32.443908	 6.282586
33.032076	 9.707318
