#rc	 FE
4.800000	 9.010297
5.388261	 4.211817
5.976521	 2.135725
6.564782	 0.123444
7.153043	 0.152079
7.741304	 1.553544
8.329564	 3.290158
8.917825	 5.815330
9.506086	 6.546340
10.094346	 6.143196
10.682607	 5.781075
11.270868	 5.486890
11.859129	 5.588868
12.447389	 5.599679
13.035650	 5.389346
13.623911	 5.493941
14.212171	 5.939339
14.800432	 6.611220
15.388693	 7.347343
15.976954	 7.621856
16.565214	 7.781983
17.153475	 7.895856
17.741736	 7.938470
18.329996	 7.821315
18.918257	 7.546342
19.506518	 7.338672
20.094779	 7.177014
20.683039	 6.883154
21.271300	 6.649767
21.859561	 6.349958
22.447821	 5.952311
23.036082	 5.639204
23.624343	 5.485260
24.212604	 5.453531
24.800864	 5.306219
25.389125	 5.189275
25.977386	 5.112001
26.565646	 5.108182
27.153907	 5.161971
27.742168	 5.203181
28.330429	 5.229413
28.918689	 4.996853
29.506950	 4.662811
30.095211	 4.435567
30.683471	 4.400845
31.271732	 4.358830
31.859993	 4.309490
32.448254	 4.884198
33.036514	 8.045697
