#rc	 FE
4.800000	 24.354017
5.388884	 17.961706
5.977767	 13.693433
6.566651	 11.417309
7.155534	 10.132844
7.744418	 9.326531
8.333301	 9.686579
8.922185	 9.931911
9.511068	 9.164628
10.099952	 8.842286
10.688835	 9.128279
11.277719	 9.686757
11.866602	 10.467885
12.455486	 10.907742
13.044369	 11.179907
13.633253	 11.405864
14.222136	 11.509847
14.811020	 11.205722
15.399904	 10.394152
15.988787	 9.415915
16.577671	 8.624301
17.166554	 7.936802
17.755438	 7.640697
18.344321	 7.346637
18.933205	 7.245366
19.522088	 7.025666
20.110972	 6.876344
20.699855	 6.561033
21.288739	 6.089974
21.877622	 5.695120
22.466506	 5.338815
23.055389	 4.917974
23.644273	 4.614073
24.233157	 4.374095
24.822040	 4.171634
25.410924	 3.898281
25.999807	 3.488492
26.588691	 3.121061
27.177574	 2.814797
27.766458	 2.456548
28.355341	 1.952623
28.944225	 1.594159
29.533108	 1.291003
30.121992	 1.111976
30.710875	 0.906181
31.299759	 0.673710
31.888642	 0.423063
32.477526	 0.825345
33.066409	 4.046052
