#rc	 FE
1.617071	 16.851206
2.093348	 16.270416
2.569624	 15.069154
3.045901	 14.116114
3.522178	 14.888789
3.998455	 16.437089
4.474731	 15.330514
4.951008	 14.751458
5.427285	 10.861097
5.903561	 9.846618
6.379838	 9.410774
6.856115	 8.459376
7.332392	 7.712930
7.808668	 7.473408
8.284945	 7.480434
8.761222	 7.573767
9.237498	 7.722151
9.713775	 7.619091
10.190052	 7.718904
10.666329	 7.658005
11.142605	 7.444675
11.618882	 7.172808
12.095159	 7.083305
12.571435	 6.519351
13.047712	 5.900840
13.523989	 5.422775
14.000266	 5.050413
14.476542	 4.835903
14.952819	 4.573264
15.429096	 4.285779
15.905372	 3.705325
16.381649	 2.963602
16.857926	 2.337965
17.334203	 1.891396
17.810479	 1.515170
18.286756	 1.209461
18.763033	 1.124745
19.239309	 1.159670
19.715586	 1.185017
20.191863	 0.622815
20.668140	 0.658546
21.144416	 1.088525
21.620693	 1.191262
22.096970	 1.176875
22.573246	 1.210616
23.049523	 1.472487
23.525800	 2.010446
24.002077	 2.586267
24.478353	 3.232328
