#rc	 FE
1.530286	 2.223698
1.971934	 0.214455
2.413583	 1.011213
2.855231	 3.711501
3.296879	 4.179574
3.738527	 3.033455
4.180176	 1.804545
4.621824	 1.359002
5.063472	 1.656641
5.505120	 2.586580
5.946769	 3.224300
6.388417	 3.655531
6.830065	 3.499023
7.271713	 3.270521
7.713362	 3.230731
8.155010	 3.099136
8.596658	 3.130018
9.038307	 2.859435
9.479955	 2.747378
9.921603	 2.846772
10.363251	 3.227598
10.804900	 4.081372
11.246548	 3.604115
11.688196	 3.161716
12.129844	 3.073178
12.571493	 3.257109
13.013141	 3.609996
13.454789	 3.855485
13.896437	 4.115306
14.338086	 4.212871
14.779734	 3.622373
15.221382	 2.914058
15.663030	 2.002822
16.104679	 1.255269
16.546327	 1.390294
16.987975	 1.878202
17.429624	 1.686145
17.871272	 1.372356
18.312920	 0.905752
18.754568	 1.013131
19.196217	 1.447801
19.637865	 1.768894
20.079513	 2.435623
20.521161	 2.882068
20.962810	 3.326292
21.404458	 3.717407
21.846106	 3.950514
22.287754	 3.869009
22.729403	 4.153529
