#rc	 FE
1.410614	 1.734970
1.866598	 -0.345096
2.322583	 0.637564
2.778567	 3.310903
3.234551	 6.084921
3.690536	 5.653292
4.146520	 4.843553
4.602504	 4.776186
5.058489	 5.524508
5.514473	 6.542386
5.970457	 7.315795
6.426442	 8.123437
6.882426	 8.520863
7.338411	 8.852940
7.794395	 8.931568
8.250379	 8.326552
8.706364	 8.156167
9.162348	 8.257439
9.618332	 8.568501
10.074317	 8.905063
10.530301	 9.055987
10.986285	 8.735549
11.442270	 8.441549
11.898254	 8.255250
12.354238	 8.275992
12.810223	 7.747894
13.266207	 7.187788
13.722191	 6.727961
14.178176	 6.148298
14.634160	 5.483923
15.090144	 5.130778
15.546129	 4.809301
16.002113	 4.506402
16.458097	 4.402395
16.914082	 4.371620
17.370066	 4.602555
17.826050	 4.993249
18.282035	 5.068949
18.738019	 4.673592
19.194004	 4.196614
19.649988	 4.186700
20.105972	 4.394636
20.561957	 5.250058
21.017941	 5.833113
21.473925	 5.906689
21.929910	 5.950628
22.385894	 6.029903
22.841878	 6.140312
23.297863	 6.056175
