#rc	 FE
4.800000	 7.169238
5.388190	 3.085340
5.976380	 2.467752
6.564570	 0.651497
7.152760	 0.705052
7.740950	 2.486737
8.329140	 3.693823
8.917330	 4.371252
9.505520	 4.966792
10.093710	 5.177652
10.681900	 4.277285
11.270090	 2.990538
11.858280	 2.228807
12.446471	 1.952267
13.034661	 2.027755
13.622851	 2.100612
14.211041	 2.112341
14.799231	 2.472349
15.387421	 3.010465
15.975611	 3.601841
16.563801	 3.975852
17.151991	 3.605137
17.740181	 3.183106
18.328371	 3.167203
18.916561	 3.018435
19.504751	 2.973511
20.092941	 3.023747
20.681131	 3.701539
21.269321	 4.226748
21.857511	 3.963984
22.445701	 3.440695
23.033891	 2.987459
23.622081	 2.755601
24.210271	 2.457742
24.798461	 2.061080
25.386651	 1.736856
25.974841	 1.467249
26.563032	 1.423302
27.151222	 1.602639
27.739412	 1.765008
28.327602	 1.745791
28.915792	 1.694307
29.503982	 2.005390
30.092172	 2.275019
30.680362	 2.440177
31.268552	 2.195480
31.856742	 1.449921
32.444932	 1.511547
33.033122	 4.019105
