#rc	 FE
4.800000	 12.050447
5.388927	 6.667648
5.977853	 2.448817
6.566780	 0.308260
7.155707	 0.083818
7.744633	 0.980900
8.333560	 2.394037
8.922487	 4.292697
9.511413	 6.050876
10.100340	 6.945168
10.689267	 7.591727
11.278193	 7.930120
11.867120	 8.343215
12.456046	 8.744194
13.044973	 8.994524
13.633900	 8.963952
14.222826	 8.908620
14.811753	 8.742908
15.400680	 8.505281
15.989606	 8.340545
16.578533	 8.309571
17.167460	 8.452411
17.756386	 8.599751
18.345313	 8.642831
18.934240	 8.574753
19.523166	 8.497935
20.112093	 8.540876
20.701020	 8.660391
21.289946	 8.655086
21.878873	 8.362447
22.467800	 8.046679
23.056726	 7.828243
23.645653	 7.655045
24.234580	 7.405930
24.823506	 7.066620
25.412433	 6.764779
26.001360	 6.432367
26.590286	 6.187983
27.179213	 5.909068
27.768139	 5.684954
28.357066	 5.525200
28.945993	 5.415220
29.534919	 5.249898
30.123846	 4.959139
30.712773	 4.512334
31.301699	 4.017830
31.890626	 3.862873
32.479553	 4.201584
33.068479	 7.254661
