#rc	 FE
1.575128	 9.107445
2.035649	 6.606656
2.496170	 6.855816
2.956691	 7.361795
3.417211	 6.897889
3.877732	 5.513220
4.338253	 4.552335
4.798774	 4.289874
5.259295	 4.324421
5.719816	 4.757935
6.180337	 4.946036
6.640857	 5.272683
7.101378	 5.895808
7.561899	 5.936620
8.022420	 5.906873
8.482941	 6.034178
8.943462	 6.774439
9.403983	 7.561906
9.864503	 8.100153
10.325024	 8.402802
10.785545	 7.984114
11.246066	 7.895792
11.706587	 7.276661
12.167108	 6.924345
12.627629	 6.693334
13.088149	 6.088354
13.548670	 5.436984
14.009191	 4.992378
14.469712	 4.609392
14.930233	 4.183254
15.390754	 3.917552
15.851275	 3.602525
16.311795	 3.253508
16.772316	 2.990601
17.232837	 2.890560
17.693358	 2.583571
18.153879	 2.218490
18.614400	 1.683891
19.074921	 0.895096
19.535441	 0.413388
19.995962	 0.333325
20.456483	 0.489826
20.917004	 0.978486
21.377525	 2.025318
21.838046	 2.106559
22.298567	 2.161785
22.759087	 2.340010
23.219608	 2.777059
23.680129	 3.735163
