#rc	 FE
1.159728	 9.099163
1.605363	 0.713544
2.050998	 -0.341704
2.496633	 1.079693
2.942267	 3.544163
3.387902	 5.038206
3.833537	 5.069255
4.279172	 4.709386
4.724807	 4.909173
5.170442	 5.316098
5.616077	 5.966300
6.061711	 6.376731
6.507346	 5.970587
6.952981	 5.955917
7.398616	 6.281424
7.844251	 7.063341
8.289886	 8.145571
8.735521	 8.998576
9.181155	 9.947161
9.626790	 9.011323
10.072425	 7.374272
10.518060	 6.328751
10.963695	 5.768253
11.409330	 5.754126
11.854965	 5.834258
12.300599	 6.028397
12.746234	 6.686734
13.191869	 6.968858
13.637504	 7.416984
14.083139	 7.970825
14.528774	 8.294666
14.974409	 8.105603
15.420043	 7.726009
15.865678	 7.477909
16.311313	 7.168463
16.756948	 6.970853
17.202583	 6.931564
17.648218	 7.045376
18.093853	 6.920683
18.539487	 6.577503
18.985122	 6.432488
19.430757	 6.464521
19.876392	 6.681211
20.322027	 7.259690
20.767662	 7.802018
21.213297	 8.479214
21.658931	 9.624512
22.104566	 10.738979
22.550201	 12.276451
