#rc	 FE
4.800000	 4.991054
5.388509	 3.012405
5.977017	 2.935253
6.565526	 3.334387
7.154034	 3.020054
7.742543	 3.278378
8.331052	 3.739878
8.919560	 4.188455
9.508069	 4.189229
10.096578	 4.131465
10.685086	 4.667309
11.273595	 5.348929
11.862103	 6.112010
12.450612	 6.515946
13.039121	 6.631317
13.627629	 6.589732
14.216138	 6.413833
14.804646	 6.241919
15.393155	 6.285020
15.981664	 6.216589
16.570172	 6.077396
17.158681	 5.912475
17.747189	 5.736429
18.335698	 5.444271
18.924207	 5.055545
19.512715	 4.677551
20.101224	 4.320929
20.689733	 3.948956
21.278241	 3.760221
21.866750	 3.529750
22.455258	 3.354404
23.043767	 3.115733
23.632276	 2.781770
24.220784	 2.235959
24.809293	 1.845537
25.397801	 1.659415
25.986310	 1.532110
26.574819	 1.501933
27.163327	 1.450567
27.751836	 1.301156
28.340344	 1.207206
28.928853	 1.128664
29.517362	 1.100101
30.105870	 1.064586
30.694379	 1.055147
31.282888	 1.051699
31.871396	 1.141511
32.459905	 1.726065
33.048413	 4.725015
