#rc	 FE
1.602113	 10.825166
2.067178	 9.164329
2.532242	 9.295232
2.997307	 9.650868
3.462372	 9.357550
3.927437	 8.975621
4.392501	 8.851398
4.857566	 9.130272
5.322631	 9.838852
5.787696	 10.907465
6.252760	 11.116715
6.717825	 11.203152
7.182890	 10.730101
7.647955	 10.990550
8.113019	 11.835640
8.578084	 12.553180
9.043149	 12.595219
9.508213	 12.031705
9.973278	 11.878549
10.438343	 11.665493
10.903408	 11.328716
11.368472	 10.693314
11.833537	 9.921884
12.298602	 8.997660
12.763667	 7.837969
13.228731	 6.962884
13.693796	 6.400425
14.158861	 6.248543
14.623926	 5.700474
15.088990	 5.093916
15.554055	 4.302103
16.019120	 3.435109
16.484185	 2.832715
16.949249	 2.172813
17.414314	 1.386807
17.879379	 1.083927
18.344443	 1.544885
18.809508	 2.393009
19.274573	 2.228458
19.739638	 1.617765
20.204702	 1.008218
20.669767	 0.662009
21.134832	 0.522852
21.599897	 0.401552
22.064961	 0.933742
22.530026	 2.355554
22.995091	 4.056837
23.460156	 5.044743
23.925220	 6.199960
