#rc	 FE
1.517740	 9.138166
1.976611	 7.442767
2.435482	 8.674289
2.894354	 11.152077
3.353225	 11.811595
3.812096	 15.219251
4.270967	 22.908866
4.729839	 22.969368
5.188710	 21.653795
5.647581	 19.296313
6.106452	 17.657822
6.565323	 16.838212
7.024195	 15.708178
7.483066	 15.200542
7.941937	 14.410872
8.400808	 13.982548
8.859680	 13.189097
9.318551	 12.376967
9.777422	 12.105009
10.236293	 12.027640
10.695164	 12.003296
11.154036	 11.720150
11.612907	 11.092969
12.071778	 10.539494
12.530649	 10.229667
12.989521	 9.738533
13.448392	 9.157050
13.907263	 8.509479
14.366134	 7.870806
14.825006	 6.804780
15.283877	 5.839963
15.742748	 4.997479
16.201619	 4.533377
16.660490	 4.072473
17.119362	 3.599698
17.578233	 3.297288
18.037104	 3.042132
18.495975	 2.788115
18.954847	 2.408531
19.413718	 2.074452
19.872589	 1.744908
20.331460	 1.418497
20.790331	 1.080939
21.249203	 0.710691
21.708074	 0.282962
22.166945	 0.273198
22.625816	 1.001557
23.084688	 1.903040
23.543559	 2.586574
