#rc	 FE
1.380356	 6.812422
1.858476	 5.494882
2.336597	 8.268255
2.814717	 11.811168
3.292837	 11.277571
3.770958	 10.121628
4.249078	 10.220515
4.727198	 11.420921
5.205319	 11.602517
5.683439	 11.904447
6.161559	 11.969434
6.639680	 11.373329
7.117800	 11.127893
7.595921	 11.285643
8.074041	 11.383884
8.552161	 11.443925
9.030282	 11.229529
9.508402	 11.118489
9.986522	 10.960588
10.464643	 10.820823
10.942763	 10.935739
11.420883	 10.441989
11.899004	 9.610376
12.377124	 8.780614
12.855244	 7.788283
13.333365	 6.935096
13.811485	 6.192563
14.289605	 5.239894
14.767726	 4.680802
15.245846	 4.395602
15.723966	 3.755870
16.202087	 3.236416
16.680207	 2.807634
17.158327	 2.234830
17.636448	 1.760552
18.114568	 1.401820
18.592688	 1.326020
19.070809	 1.269750
19.548929	 0.985538
20.027050	 0.601197
20.505170	 0.539887
20.983290	 0.798843
21.461411	 1.250007
21.939531	 1.423288
22.417651	 1.517604
22.895772	 1.584863
23.373892	 1.740168
23.852012	 2.151100
24.330133	 2.671673
