#rc 	 FES 	 error_std
1.25	 3.9162854999999985	 3.3933200621680895
1.4475	 3.8936761	 3.7503211658580584
1.645	 2.5091801499999993	 3.3416612932560787
1.8425	 1.4305194	 2.955441661901606
2.04	 0.6618925	 2.609558632521436
2.2375	 0.19164714999999966	 2.298395119676051
2.435	 0.0	 2.018609862799483
2.6325	 0.038770799999999994	 1.7598468634946016
2.83	 0.2428435000000002	 1.538277180563616
3.0275	 0.5515693499999998	 1.3996569692755472
3.225	 0.9026125000000005	 1.3736130831108329
3.4225	 1.22217005	 1.430205499660346
3.62	 1.4299661999999995	 1.4652457644637393
3.8175	 1.4768948999999991	 1.509354477672567
4.015	 1.5065496999999994	 1.6613524830508508
4.2125	 1.5434336499999994	 1.75185286567498
4.41	 1.6285670999999993	 1.865328037667999
4.6075	 1.6852177999999993	 1.9185921004869135
4.805	 1.5761771499999995	 1.6884345020717533
5.0025	 1.5244758500000004	 1.594532099432702
5.2	 1.5418224999999999	 1.6216339766309005
5.3975	 1.5448013499999997	 1.6098651991720954
5.595	 1.5169262499999996	 1.5012873487095866
5.7925	 1.5456512999999998	 1.4372780800125242
5.99	 1.6246257999999996	 1.433403002586637
6.1875	 1.6883877000000007	 1.4611448693972573
6.385	 1.7274676500000004	 1.51603744609559
6.5825	 1.7232347	 1.549681824981834
6.78	 1.6978554	 1.5821535098289063
6.9775	 1.7171167999999999	 1.6612206655571038
7.175	 1.79166755	 1.7875874709346533
7.3725	 1.8920442999999998	 1.9052590878212305
7.57	 2.0279369000000003	 2.025050766982109
7.7675	 2.2112877	 2.1541987351922125
7.965	 2.3842295499999993	 2.245670404457954
8.1625	 2.5265611999999997	 2.2955268717161053
8.36	 2.6188610000000003	 2.302220543464602
8.5575	 2.705847849999999	 2.2707538990595744
8.755	 2.814259499999999	 2.2537712846818216
8.9525	 2.915866849999999	 2.26691563736308
9.15	 2.988458300000001	 2.2672699497367943
9.3475	 3.1005532500000004	 2.3171875298327844
9.545	 3.205850099999999	 2.376770635822176
9.7425	 3.2701559999999996	 2.381050852949501
9.94	 3.359989850000001	 2.386677720397909
10.1375	 3.481473950000001	 2.396019887203608
10.335	 3.5904825	 2.4127520517470806
10.5325	 3.6750871999999997	 2.465603443110637
10.73	 3.6807584500000003	 2.4687412278299115
10.9275	 3.6069774999999997	 2.4122463990551726
11.125	 3.5255231499999993	 2.3662050950140374
11.3225	 3.5076950499999993	 2.365800071148173
11.52	 3.552099699999999	 2.395422507464065
11.7175	 3.59450665	 2.4017700113566747
11.915	 3.62339395	 2.4211850206663037
12.1125	 3.6592950500000003	 2.481307845340618
12.31	 3.691196649999999	 2.5183558088016946
12.5075	 3.7013571499999984	 2.494885248769368
12.705	 3.759081399999999	 2.4690880354449756
12.9025	 3.85391065	 2.482068125303502
13.1	 3.9051583999999973	 2.5137596762503227
13.2975	 3.8630380499999997	 2.539247632202559
13.495	 3.8120991500000003	 2.5512839826690774
13.6925	 3.8273907999999994	 2.573842472301032
13.89	 3.8833513499999994	 2.6066900511264106
14.0875	 3.8972893	 2.636594974765159
14.285	 3.9027109999999987	 2.6508429735512338
14.4825	 3.9326669000000005	 2.6750843422638333
14.68	 3.9967401499999995	 2.760710191599127
14.8775	 4.06902595	 2.855509910971014
15.075	 4.08884475	 2.88623963986612
15.2725	 4.0597648	 2.9017219594833317
15.47	 4.010316500000002	 2.9475041444178744
15.6675	 3.971258749999999	 3.034332077589467
15.865	 3.940628500000001	 3.1255210593283236
16.0625	 3.9131385	 3.200168444646961
16.26	 3.87370995	 3.243031836623808
16.4575	 3.8479074999999994	 3.268425955058329
16.655	 3.805729299999999	 3.302231257808164
16.8525	 3.7330479999999997	 3.3307485453476287
17.05	 3.6695099499999997	 3.3509385385280477
17.2475	 3.616175399999999	 3.373131647675618
17.445	 3.5715044	 3.4178154887094085
17.6425	 3.5508657499999994	 3.479394982302284
17.84	 3.55932265	 3.528365272966341
18.0375	 3.589864899999999	 3.5612230672127554
18.235	 3.6478599000000007	 3.593296734539374
18.4325	 3.7418089	 3.6338016723676496
18.63	 3.8595646	 3.681752824347453
18.8275	 3.9792218999999984	 3.7425315757021513
19.025	 4.118830200000001	 3.7928049385214013
19.2225	 4.25666455	 3.776207545087273
19.42	 4.413100999999999	 3.750249166488801
19.6175	 4.628006150000001	 3.8356660629661423
19.815	 4.903327800000001	 4.038592412221019
20.0125	 5.07725555	 4.085791212578213
20.21	 5.1923601999999995	 4.129567871544289
20.4075	 5.32991885	 4.188991009613909
20.605	 5.537796750000002	 4.268425720691565
20.8025	 5.8059249999999984	 4.374355895271159
21.0	 inf	 nan
