#force	 last_time	 alpha	 product
-0.6 953.800000 10.076608 0.009611 
-0.6 860.200000 7.908397 0.006803 
-0.6 1026.600000 10.035116 0.010302 
-0.6 1035.200000 10.486372 0.010855 
-0.6 314.200000 2.354665 0.000740 
-0.6 890.000000 7.681183 0.006836 
-0.6 562.400000 4.477301 0.002518 
-0.6 736.600000 6.276892 0.004624 
-0.6 812.200000 7.571327 0.006149 
-0.6 1118.800000 12.695005 0.014203 
-0.6 835.600000 6.748242 0.005639 
-0.6 768.000000 6.788840 0.005214 
-0.6 930.000000 9.116713 0.008479 
-0.6 1037.400000 9.516047 0.009872 
-0.6 708.000000 4.719074 0.003341 
-0.6 769.200000 6.258880 0.004814 
-0.6 440.800000 3.516121 0.001550 
-0.6 808.400000 7.232028 0.005846 
-0.6 686.800000 5.664748 0.003891 
-0.6 942.200000 8.468405 0.007979 
