#force	 last_time	 alpha	 product
-1.3 187.600000 1.819039 0.000341 
-1.3 315.000000 2.150118 0.000677 
-1.3 443.800000 3.209102 0.001424 
-1.3 224.600000 1.772642 0.000398 
-1.3 409.000000 2.869106 0.001173 
-1.3 407.400000 2.524536 0.001028 
-1.3 348.800000 2.490541 0.000869 
-1.3 355.000000 2.528785 0.000898 
-1.3 499.000000 3.420109 0.001707 
-1.3 166.400000 1.548099 0.000258 
-1.3 478.800000 3.650725 0.001748 
-1.3 362.200000 2.623016 0.000950 
-1.3 187.600000 1.680451 0.000315 
-1.3 351.600000 2.437062 0.000857 
-1.3 453.400000 2.906508 0.001318 
-1.3 436.200000 3.284036 0.001432 
-1.3 140.600000 1.540489 0.000217 
-1.3 297.600000 2.167953 0.000645 
-1.3 421.200000 2.794157 0.001177 
-1.3 563.000000 4.013734 0.002260 
