#run	 escape_time
1	 0.014784
2	 0.005555
3	 0.014962
4	 0.043845
5	 0.030906
6	 0.034560
7	 0.038710
8	 0.028907
9	 0.039597
10	 0.175335
11	 0.037834
12	 0.087855
13	 0.019884
14	 0.046674
15	 0.111950
16	 0.024534
17	 0.040145
18	 0.031257
19	 0.045594
20	 0.085439
