#force	 last_time	 alpha	 product
-0.9 239.400000 1.924973 0.000461 
-0.9 610.000000 5.217802 0.003183 
-0.9 806.800000 6.658326 0.005372 
-0.9 535.200000 3.644240 0.001950 
-0.9 530.000000 3.783362 0.002005 
-0.9 707.600000 5.207729 0.003685 
-0.9 625.400000 4.809870 0.003008 
-0.9 501.600000 3.397454 0.001704 
-0.9 454.800000 3.463564 0.001575 
-0.9 861.400000 6.246169 0.005380 
-0.9 655.000000 4.807121 0.003149 
-0.9 506.800000 3.845440 0.001949 
-0.9 589.800000 4.140903 0.002442 
-0.9 824.200000 6.529314 0.005381 
-0.9 535.400000 3.737441 0.002001 
-0.9 288.400000 2.371125 0.000684 
-0.9 890.800000 7.159729 0.006378 
-0.9 660.800000 4.562577 0.003015 
-0.9 509.600000 3.680232 0.001875 
-0.9 835.200000 6.577665 0.005494 
